catalog_id,common_name,scientific_name_as_source,plant_type_as_source,catalog_status,crop_contexts,regulatory_tier,usda_match_status,usda_symbol_candidate,habitat_flags_auto_for_review,vt_profile_url
VT-465,apple of Peru,Nicandra physalodes,broadleaf,source_index_only,,,matched,NIPH,,https://weedid.cals.vt.edu/profile/465/
VT-521,arrowleaf sida,Sida rhombifolia,broadleaf,source_index_only,,,matched,SIRH,roadside_disturbed,https://weedid.cals.vt.edu/profile/521/
VT-356,ashy sunflower,Helianthus mollis,broadleaf,source_index_only,,,matched,HEMO2,,https://weedid.cals.vt.edu/profile/356/
VT-347,Asian ponysfoot,Dichondra micrantha,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/347/
VT-162,Asiatic dayflower,Commelina communis,broadleaf,source_index_only,,,matched,COCO3,horticultural_crops; turf_landscape,https://weedid.cals.vt.edu/profile/162/
VT-454,Asiatic tearthumb,Polygonum perfoliatum,broadleaf,source_index_only,,,matched,POPE10,,https://weedid.cals.vt.edu/profile/454/
VT-569,atrichum moss,Atrichum spp.,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/569/
VT-364,Australian water-clover,Marsilea mutica,broadleaf,source_index_only,,,matched,MAMU2,aquatic_wetland,https://weedid.cals.vt.edu/profile/364/
VT-625,autumn olive,Elaeagnus umbellata,broadleaf,crop_context_sourced,pasture_hay,Tier 3,matched,ELUM,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/625/
VT-383,bahiagrass,Paspalum notatum,grass_or_grasslike,source_index_only,,,matched,PANO2,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/383/
VT-504,bald brome,Bromus racemosus,grass_or_grasslike,source_index_only,,,matched,BRRA2,pasture_forage,https://weedid.cals.vt.edu/profile/504/
VT-707,balloon plant,Iva obscurum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/707/
VT-149,balsampear,Momordica charantia,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/149/
VT-179,barnyardgrass,Echinochloa crus-galli,grass_or_grasslike,crop_context_sourced,corn; soybean,,matched,ECCR,agronomic_crops,https://weedid.cals.vt.edu/profile/179/
VT-50,beaked panicgrass,Panicum anceps,grass_or_grasslike,source_index_only,,,matched,PAAN,,https://weedid.cals.vt.edu/profile/50/
VT-66,bearded beggarticks,Bidens aristosa,broadleaf,source_index_only,,,matched,BIAR,,https://weedid.cals.vt.edu/profile/66/
VT-655,beechdrops,Epifagus virginiana,unclassified,source_index_only,,,matched,EPVI2,,https://weedid.cals.vt.edu/profile/655/
VT-238,beefsteakplant,Perilla frutescens,broadleaf,source_index_only,,,matched,PEFR4,,https://weedid.cals.vt.edu/profile/238/
VT-189,Bermudagrass,Cynodon dactylon,grass_or_grasslike,crop_context_sourced,corn; soybean,,matched,CYDA,,https://weedid.cals.vt.edu/profile/189/
VT-100,biennial beeblossom,Gaura biennis,broadleaf,source_index_only,,,matched,OEGA,,https://weedid.cals.vt.edu/profile/100/
VT-244,big bluestem,Andropogon gerardii,grass_or_grasslike,source_index_only,,,matched,ANGE,,https://weedid.cals.vt.edu/profile/244/
VT-234,big chickweed,Cerastium fontanum ssp. vulgare,broadleaf,source_index_only,,,matched,CEFO2,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/234/
VT-185,big cordgrass,Spartina cynosuroides,grass_or_grasslike,source_index_only,,,matched,SPCY,,https://weedid.cals.vt.edu/profile/185/
VT-216,bigpod sesbania,Sesbania exaltata,broadleaf,source_index_only,,,matched,SEHE8,aquatic_wetland; roadside_disturbed,https://weedid.cals.vt.edu/profile/216/
VT-275,bigtop lovegrass,Eragrostis hirsuta,grass_or_grasslike,source_index_only,,,matched,ERHI,roadside_disturbed,https://weedid.cals.vt.edu/profile/275/
VT-237,billion-dollar grass,Echinochloa frumentacea,grass_or_grasslike,source_index_only,,,matched,ECFR,,https://weedid.cals.vt.edu/profile/237/
VT-172,bird's-foot trefoil,Lotus corniculatus,broadleaf,source_index_only,,,matched,LOCO6,roadside_disturbed,https://weedid.cals.vt.edu/profile/172/
VT-469,bishop's weed,Aegopodium podagraria,broadleaf,source_index_only,,,matched,AEPO,,https://weedid.cals.vt.edu/profile/469/
VT-393,bitter dock,Rumex obtusifolius,broadleaf,source_index_only,,,matched,RUOB,horticultural_crops; roadside_disturbed,https://weedid.cals.vt.edu/profile/393/
VT-31,bitter panicgrass,Panicum amarum,grass_or_grasslike,source_index_only,,,matched,PAAM2,aquatic_wetland,https://weedid.cals.vt.edu/profile/31/
VT-170,bitternut hickory,Carya cordiformis,broadleaf,source_index_only,,,matched,CACO15,,https://weedid.cals.vt.edu/profile/170/
VT-208,bittersweet nightshade,Solanum dulcamara,broadleaf,source_index_only,,,matched,SODU,,https://weedid.cals.vt.edu/profile/208/
VT-374,black bamboo,Phyllostachys nigra,grass_or_grasslike,source_index_only,,,matched,PHNI80,,https://weedid.cals.vt.edu/profile/374/
VT-503,black bugbane,Actaea racemosa var. racemosa,broadleaf,source_index_only,,,matched,ACRA7,,https://weedid.cals.vt.edu/profile/503/
VT-552,black cherry,Prunus serotina,broadleaf,source_index_only,,,matched,PRSE2,,https://weedid.cals.vt.edu/profile/552/
VT-241,black highbush blueberry,Vaccinium fuscatum,broadleaf,source_index_only,,,matched,VAFU,,https://weedid.cals.vt.edu/profile/241/
VT-95,black huckleberry,Gaylussacia baccata,broadleaf,source_index_only,,,matched,GABA,,https://weedid.cals.vt.edu/profile/95/
VT-764,black locust,Robinia pseudoacacia,broadleaf,crop_context_sourced,pasture_hay,,matched,ROPS,,https://weedid.cals.vt.edu/profile/764/
VT-326,black medic,Medicago lupulina,broadleaf,source_index_only,,,matched,MELU,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/326/
VT-378,black nightshade,Solanum nigrum,broadleaf,source_index_only,,,matched,SONI,agronomic_crops; pasture_forage; turf_landscape,https://weedid.cals.vt.edu/profile/378/
VT-396,black raspberry,Rubus occidentalis,broadleaf,source_index_only,,,matched,RUOC,,https://weedid.cals.vt.edu/profile/396/
VT-376,black willow,Salix nigra,broadleaf,source_index_only,,,matched,SANI,,https://weedid.cals.vt.edu/profile/376/
VT-249,black-staining polypore,Meripilus giganteus,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/249/
VT-152,blackberry lily,Belamcanda chinensis,grass_or_grasslike,source_index_only,,,matched,BECH,,https://weedid.cals.vt.edu/profile/152/
VT-276,blackeyed Susan,Rudbeckia hirta,broadleaf,source_index_only,,,matched,RUHI2,,https://weedid.cals.vt.edu/profile/276/
VT-590,blackgum,Nyssa sylvatica,broadleaf,source_index_only,,,matched,NYSY,,https://weedid.cals.vt.edu/profile/590/
VT-480,blackhaw,Viburnum prunifolium,broadleaf,source_index_only,,,matched,VIPR,,https://weedid.cals.vt.edu/profile/480/
VT-16,bladder campion,Silene alba,broadleaf,source_index_only,,,matched,SILAA3,roadside_disturbed,https://weedid.cals.vt.edu/profile/16/
VT-205,blindeyes,Papaver dubium,broadleaf,source_index_only,,,matched,PADU,agronomic_crops; pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/205/
VT-236,blue huckleberry,Gaylussacia frondosa,broadleaf,source_index_only,,,matched,GAFR2,,https://weedid.cals.vt.edu/profile/236/
VT-160,blue mistflower,Conoclinium coelestinum,broadleaf,source_index_only,,,matched,COCO13,,https://weedid.cals.vt.edu/profile/160/
VT-254,blue sedge,Carex glaucodea,grass_or_grasslike,source_index_only,,,matched,CAGL6,,https://weedid.cals.vt.edu/profile/254/
VT-670,blue waxweed,Cuphea viscosissima,broadleaf,source_index_only,,,matched,CUVI,,https://weedid.cals.vt.edu/profile/670/
VT-411,bluejacket,Tradescantia ohioensis,broadleaf,source_index_only,,,unmatched_requires_review,,roadside_disturbed,https://weedid.cals.vt.edu/profile/411/
VT-390,blunt spikerush,Eleocharis obtusa,grass_or_grasslike,source_index_only,,,matched,ELOB2,,https://weedid.cals.vt.edu/profile/390/
VT-215,Boston swordfern,Nephrolepis exaltata,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/215/
VT-370,boxelder,Acer negundo,broadleaf,source_index_only,,,matched,ACNE2,,https://weedid.cals.vt.edu/profile/370/
VT-766,brambles,Rubus spp.,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/766/
VT-109,Brazilian watermeal,Wolffia brasiliensis,broadleaf,source_index_only,,,matched,WOBR,,https://weedid.cals.vt.edu/profile/109/
VT-196,Brazilian waterweed,Egeria densa,broadleaf,source_index_only,,,matched,EGDE,aquatic_wetland,https://weedid.cals.vt.edu/profile/196/
VT-352,brittle waternymph,Najas minor,broadleaf,source_index_only,,,matched,NAMI,,https://weedid.cals.vt.edu/profile/352/
VT-319,broadleaf cattail,Typha latifolia,grass_or_grasslike,source_index_only,,,matched,TYLA,,https://weedid.cals.vt.edu/profile/319/
VT-269,broadleaf helleborine,Epipactis helleborine,broadleaf,source_index_only,,,matched,EPHE,,https://weedid.cals.vt.edu/profile/269/
VT-253,broadleaf ironweed,Vernonia glauca,broadleaf,source_index_only,,,matched,VEGL,,https://weedid.cals.vt.edu/profile/253/
VT-439,broadleaf pondweed,Stuckenia pectinata,broadleaf,source_index_only,,,matched,STPE15,,https://weedid.cals.vt.edu/profile/439/
VT-468,broadleaf signalgrass,Urochloa platyphylla,grass_or_grasslike,crop_context_sourced,corn; soybean,,matched,URPL2,agronomic_crops,https://weedid.cals.vt.edu/profile/468/
VT-665,broomsedge bluestem,Andropogon virginicus,grass_or_grasslike,source_index_only,,,matched,ANVI2,pasture_forage; horticultural_crops,https://weedid.cals.vt.edu/profile/665/
VT-306,brown mustard,Brassica juncea,broadleaf,source_index_only,,,matched,BRJU,,https://weedid.cals.vt.edu/profile/306/
VT-767,browneyed Susan,Rudbeckia triloba,broadleaf,source_index_only,,,matched,RUTR2,,https://weedid.cals.vt.edu/profile/767/
VT-297,brownray knapweed,Centaurea jacea,broadleaf,source_index_only,,,matched,CEJA,,https://weedid.cals.vt.edu/profile/297/
VT-482,buffalo nut,Pyrularia pubera,broadleaf,source_index_only,,,matched,PYPU,,https://weedid.cals.vt.edu/profile/482/
VT-524,buffalobur,Solanum rostratum,broadleaf,source_index_only,,,matched,SORO,,https://weedid.cals.vt.edu/profile/524/
VT-113,bulbous bluegrass,Poa bulbosa,grass_or_grasslike,source_index_only,,,matched,POBU,roadside_disturbed,https://weedid.cals.vt.edu/profile/113/
VT-112,bulbous woodrush,Luzula bulbosa,grass_or_grasslike,source_index_only,,,matched,LUBU,,https://weedid.cals.vt.edu/profile/112/
VT-673,bull thistle,Cirsium vulgare,broadleaf,crop_context_sourced,pasture_hay,,matched,CIVU,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/673/
VT-51,burcucumber,Sicyos angulatus,broadleaf,crop_context_sourced,corn; soybean,,matched,SIAN,,https://weedid.cals.vt.edu/profile/51/
VT-12,burningbush,Euonymus alatus,broadleaf,source_index_only,,,matched,EUAL13,,https://weedid.cals.vt.edu/profile/12/
VT-45,bursting-heart,Euonymus americanus,broadleaf,source_index_only,,,matched,EUAM9,,https://weedid.cals.vt.edu/profile/45/
VT-682,butter and eggs,Linaria vulgaris,broadleaf,source_index_only,,,matched,LIVU2,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/682/
VT-704,butterfly weed,Itea lutea,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/704/
VT-770,butterweed,Packera glabellus,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/770/
VT-815,Caley pea,Lathyrus hirsutus,broadleaf,source_index_only,,,matched,LAHI2,,https://weedid.cals.vt.edu/profile/815/
VT-119,camphor pluchea,Pluchea camphorata,broadleaf,source_index_only,,,matched,PLCA7,,https://weedid.cals.vt.edu/profile/119/
VT-30,Canada goldenrod,Solidago altissima,broadleaf,source_index_only,,,matched,SOAL6,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/30/
VT-124,Canada lettuce,Lactuca canadensis,broadleaf,source_index_only,,,matched,LACA,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/124/
VT-72,Canada thistle,Cirsium arvense,broadleaf,crop_context_sourced,pasture_hay,,matched,CIAR4,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/72/
VT-125,Canada toadflax,Linaria canadensis,broadleaf,source_index_only,,,matched,,roadside_disturbed,https://weedid.cals.vt.edu/profile/125/
VT-127,Canadian blacksnakeroot,Sanicula canadensis,broadleaf,source_index_only,,,matched,SACA15,,https://weedid.cals.vt.edu/profile/127/
VT-486,Canadian clearweed,Pilea pumila,broadleaf,source_index_only,,,matched,PIPU2,,https://weedid.cals.vt.edu/profile/486/
VT-126,Canadian lousewort,Pedicularis canadensis,broadleaf,source_index_only,,,matched,PECA,,https://weedid.cals.vt.edu/profile/126/
VT-134,cardoon,Cynara cardunculus,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/134/
VT-142,Carolina desert-chicory,Pyrrhopappus carolinianus,broadleaf,source_index_only,,,matched,PYCA2,,https://weedid.cals.vt.edu/profile/142/
VT-141,Carolina elephantsfoot,Elephantopus carolinianus,broadleaf,source_index_only,,,matched,ELCA3,,https://weedid.cals.vt.edu/profile/141/
VT-140,Carolina geranium,Geranium carolinianum,broadleaf,source_index_only,,,matched,GECA5,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/140/
VT-139,Carolina mosquitofern,Azolla caroliniana,broadleaf,source_index_only,,,matched,AZCA,,https://weedid.cals.vt.edu/profile/139/
VT-137,Carolina ponysfoot,Dichondra carolinensis,broadleaf,source_index_only,,,matched,DICA3,,https://weedid.cals.vt.edu/profile/137/
VT-550,castor aralia,Kalopanax septemlobus,broadleaf,source_index_only,,,matched,KASE,,https://weedid.cals.vt.edu/profile/550/
VT-630,catclawvine,Macfadyena unguis-cati,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/630/
VT-145,catnip,Nepeta cataria,broadleaf,source_index_only,,,matched,NECA2,,https://weedid.cals.vt.edu/profile/145/
VT-414,centipede grass,Eremochloa ophiuroides,grass_or_grasslike,source_index_only,,,matched,EROP,,https://weedid.cals.vt.edu/profile/414/
VT-631,chamber bitter,Phyllanthus urinaria,broadleaf,source_index_only,,,matched,PHUR,,https://weedid.cals.vt.edu/profile/631/
VT-811,chameleon plant,Houttuynia cordata,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/811/
VT-594,cheatgrass,Bromus tectorum,grass_or_grasslike,source_index_only,,,matched,BRTE,agronomic_crops; horticultural_crops; turf_landscape,https://weedid.cals.vt.edu/profile/594/
VT-293,chicory,Cichorium intybus,broadleaf,crop_context_sourced,pasture_hay,,matched,CIIN,agronomic_crops; pasture_forage,https://weedid.cals.vt.edu/profile/293/
VT-94,Chinaberrytree,Melia azedarach,broadleaf,source_index_only,,,matched,MEAZ,,https://weedid.cals.vt.edu/profile/94/
VT-357,Chinese chestnut,Castanea mollissima,broadleaf,source_index_only,,,matched,CAMO83,,https://weedid.cals.vt.edu/profile/357/
VT-25,Chinese fountaingrass,Pennisetum alopecuroides,grass_or_grasslike,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/25/
VT-497,Chinese pear,Pyrus pyrifolia,broadleaf,source_index_only,,,matched,PYPY2,,https://weedid.cals.vt.edu/profile/497/
VT-564,Chinese privet,Ligustrum sinense,broadleaf,source_index_only,,,matched,LISI,,https://weedid.cals.vt.edu/profile/564/
VT-565,Chinese silvergrass,Miscanthus sinensis,grass_or_grasslike,source_index_only,,,matched,MISI,roadside_disturbed,https://weedid.cals.vt.edu/profile/565/
VT-697,Chinese sweetshrub,Calycanthus chinensis,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/697/
VT-768,Chinese tallow,Sapium sebiferum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/768/
VT-566,Chinese wisteria,Wisteria sinensis,broadleaf,source_index_only,,,matched,WISI,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/566/
VT-415,Chinese yam,Dioscorea oppositifolia,broadleaf,source_index_only,,,matched,DIOP,,https://weedid.cals.vt.edu/profile/415/
VT-753,clammy groundcherry,Physalis heterophylla,broadleaf,source_index_only,,,matched,PHHE5,,https://weedid.cals.vt.edu/profile/753/
VT-669,clammy locust,Robinia viscosa,broadleaf,source_index_only,,,matched,ROVI,,https://weedid.cals.vt.edu/profile/669/
VT-199,climbing dayflower,Commelina diffusa,broadleaf,source_index_only,,,matched,CODI5,,https://weedid.cals.vt.edu/profile/199/
VT-708,coastal sandbur,Cenchrus spinifex,grass_or_grasslike,source_index_only,,,matched,CESP4,,https://weedid.cals.vt.edu/profile/708/
VT-23,coastal sweetpepperbush,Clethra alnifolia,broadleaf,source_index_only,,,matched,CLAL3,,https://weedid.cals.vt.edu/profile/23/
VT-178,cockspur hawthorn,Crataegus crus-galli,broadleaf,source_index_only,,,matched,CRCR2,,https://weedid.cals.vt.edu/profile/178/
VT-219,coltsfoot,Tussilago farfara,broadleaf,source_index_only,,,matched,TUFA,,https://weedid.cals.vt.edu/profile/219/
VT-407,common balm,Melissa officinalis,broadleaf,source_index_only,,,matched,MEOF2,,https://weedid.cals.vt.edu/profile/407/
VT-677,common barley,Hordeum vulgare,grass_or_grasslike,source_index_only,,,matched,HOVU,roadside_disturbed,https://weedid.cals.vt.edu/profile/677/
VT-567,common blue violet,Viola sororia,broadleaf,source_index_only,,,matched,VISO,,https://weedid.cals.vt.edu/profile/567/
VT-517,common bugle,Ajuga reptans,broadleaf,source_index_only,,,matched,AJRE,,https://weedid.cals.vt.edu/profile/517/
VT-354,common burdock,Arctium minus,broadleaf,crop_context_sourced,pasture_hay,,matched,ARMI2,roadside_disturbed,https://weedid.cals.vt.edu/profile/354/
VT-394,common buttonbush,Cephalanthus occidentalis,broadleaf,source_index_only,,,matched,CEOC2,,https://weedid.cals.vt.edu/profile/394/
VT-223,common carpetgrass,Axonopus fissifolius,grass_or_grasslike,source_index_only,,,matched,AXFI,,https://weedid.cals.vt.edu/profile/223/
VT-346,common chickweed,Stellaria media,broadleaf,crop_context_sourced,small_grains; pasture_hay,,matched,STME2,turf_landscape,https://weedid.cals.vt.edu/profile/346/
VT-562,common cinquefoil,Potentilla simplex,broadleaf,source_index_only,,,matched,POSI2,turf_landscape,https://weedid.cals.vt.edu/profile/562/
VT-587,common cocklebur,Xanthium strumarium,broadleaf,crop_context_sourced,pasture_hay,,matched,XAST,agronomic_crops; aquatic_wetland,https://weedid.cals.vt.edu/profile/587/
VT-345,common cowparsnip,Haracleum maximum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/345/
VT-404,common dandelion,Taraxacum officinale,broadleaf,crop_context_sourced,pasture_hay,,matched,TAOF,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/404/
VT-471,common duckmeat,Spirodela polyrrhiza,broadleaf,source_index_only,,,matched,SPPO,,https://weedid.cals.vt.edu/profile/471/
VT-351,common duckweed,Lemna minor,broadleaf,source_index_only,,,matched,LEMI3,,https://weedid.cals.vt.edu/profile/351/
VT-87,common earthball,Scleroderma aurantium,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/87/
VT-101,common evening primrose,Oenothera biennis,broadleaf,source_index_only,,,matched,OEBI,,https://weedid.cals.vt.edu/profile/101/
VT-684,common groundsel,Senecio vulgaris,broadleaf,crop_context_sourced,small_grains; pasture_hay,,matched,SEVU,turf_landscape,https://weedid.cals.vt.edu/profile/684/
VT-327,common hop,Humulus lupulus,broadleaf,source_index_only,,,matched,HULU,,https://weedid.cals.vt.edu/profile/327/
VT-470,common liverwort,Marchantia polymorpha,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/470/
VT-368,common mallow,Malva neglecta,broadleaf,source_index_only,,,matched,MANE,agronomic_crops; horticultural_crops; turf_landscape,https://weedid.cals.vt.edu/profile/368/
VT-592,common milkweed,Asclepias syriaca,broadleaf,crop_context_sourced,pasture_hay,,matched,ASSY,roadside_disturbed,https://weedid.cals.vt.edu/profile/592/
VT-233,common mouse-ear chickweed,Cerastium fontanum,broadleaf,source_index_only,,,matched,CEFO2,,https://weedid.cals.vt.edu/profile/233/
VT-603,common mullein,Verbascum thapsus,broadleaf,crop_context_sourced,pasture_hay,,matched,VETH,roadside_disturbed,https://weedid.cals.vt.edu/profile/603/
VT-163,common nipplewort,Lapsana communis,broadleaf,source_index_only,,,matched,LACO3,,https://weedid.cals.vt.edu/profile/163/
VT-353,common periwinkle,Vinca minor,broadleaf,source_index_only,,,matched,VIMI2,,https://weedid.cals.vt.edu/profile/353/
VT-654,common persimmon,Diospyros virginiana,broadleaf,source_index_only,,,matched,DIVI5,,https://weedid.cals.vt.edu/profile/654/
VT-336,common plantain,Plantago major,broadleaf,source_index_only,,,matched,PLMA2,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/336/
VT-69,common ragweed,Ambrosia artemisiifolia,broadleaf,crop_context_sourced,corn; soybean; pasture_hay,,matched,AMAR2,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/69/
VT-91,common reed,Phragmites australis,grass_or_grasslike,source_index_only,,Tier 3,matched,PHAU7,roadside_disturbed,https://weedid.cals.vt.edu/profile/91/
VT-210,common rush,Juncus effusus,grass_or_grasslike,source_index_only,,,matched,JUEF,aquatic_wetland,https://weedid.cals.vt.edu/profile/210/
VT-683,common selfheal,Prunella vulgaris,broadleaf,source_index_only,,,matched,PRVU,,https://weedid.cals.vt.edu/profile/683/
VT-5,common sheep sorrel,Rumex acetosella,broadleaf,source_index_only,,,matched,RUAC3,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/5/
VT-410,common speedwell,Veronica officinalis,broadleaf,source_index_only,,,matched,VEOF2,agronomic_crops; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/410/
VT-456,common St. Johnswort,Hypericum perforatum,broadleaf,source_index_only,,,matched,HYPE,pasture_forage,https://weedid.cals.vt.edu/profile/456/
VT-56,common sunflower,Helianthus annuus,broadleaf,source_index_only,,,matched,HEAN3,pasture_forage,https://weedid.cals.vt.edu/profile/56/
VT-607,common sweetleaf,Symplocos tinctoria,broadleaf,source_index_only,,,matched,SYTI,,https://weedid.cals.vt.edu/profile/607/
VT-679,common tansy,Tanacetum vulgare,broadleaf,source_index_only,,,matched,TAVU,pasture_forage,https://weedid.cals.vt.edu/profile/679/
VT-522,common threeseed mercury,Acalypha rhomboidea,broadleaf,source_index_only,,,matched,ACRH,,https://weedid.cals.vt.edu/profile/522/
VT-312,common velvetgrass,Holcus lanatus,grass_or_grasslike,source_index_only,,,matched,HOLA,,https://weedid.cals.vt.edu/profile/312/
VT-539,common vetch,Vicia sativa,broadleaf,source_index_only,,,matched,VISA,,https://weedid.cals.vt.edu/profile/539/
VT-675,common viper's bugloss,Echium vulgare,broadleaf,source_index_only,,,matched,ECVU,,https://weedid.cals.vt.edu/profile/675/
VT-350,common yarrow,Achillea millefolium,broadleaf,crop_context_sourced,pasture_hay,,matched,ACMI2,pasture_forage; turf_landscape,https://weedid.cals.vt.edu/profile/350/
